q,a1,a2,a3,a4,a5,a6,a7
Name The Youngest Age A Person Should Get Married,20 ,18 ,25 ,21 ,22 ,,
Name Another Word for Mother,Mum ,Mummy ,Ma ,Mama ,Housewife ,,
How Long In Minutes Does It Take The Average Person To Take A Shower,10 Mins ,15 Mins ,5 Mins ,20 Mins ,30 Mins ,,
Name Something You Take To The Laundrette,Clothes ,Washing Powder ,A Book ,A Baby ,Newspaper ,,
Name Someone You Only See Once A Year,Father Christmas ,Grandparents ,Cousins ,Sisters ,Brothers ,,
The Time Of The Day A Person Is Most Likely To Take A Nap,2pm ,Afternoon ,Noon ,4pm ,3pm ,,
Name A Pet That Requires Very Little Maintenance,Cat ,Fish ,Bird ,Snake ,Dog ,,
How Long The Average Person Would Wait For A Table At A Restaurant,30 Mins ,20 Mins ,15 Mins ,45 Mins ,40 Mins ,,
Name Something A Hypnotist Might Tell You To Do,Close Your Eyes ,Act Like A Dog ,Rest ,Act Like A Chicken ,Give Them Money ,,
Name Something You Wouldn't Run Over With A Vacuum Cleaner,Cats Tail ,Money ,A Marble ,Dogs Tail ,A Nail ,,
Name Something You Might Buy From A Pharmacist,Medicine ,Cotton Wool ,Plasters ,Condoms ,Tampons ,,
Name Something Most People Do Every New Years Eve,Drink ,Go Out ,Have A Party ,Dance ,Make Phone Calls ,,
Name Something You Do While Driving That You Don't Do On A Test,Speed ,Eat ,Run A Red Light ,No Seatbelt ,Sing ,,
Name A Person That Wears Gloves,Boxer ,Doctor ,Builder ,Doorman ,Policeman ,,
Name A Kind Of Footwear Worn By Both Men And Woman,Trainers ,Sandals ,Slippers ,Boots ,Socks ,,
Name Something You Associate With Halloween,Pumpkin ,Witches ,Trick Or Treat ,Ghosts ,Dressing Up ,,
Name A Game You Might Find In A Pub,Darts ,Pool ,Cards ,Dominoes ,Bridge ,,
Name A Film Starring Tom Cruise,Top Gun ,Mission Impossible ,Cocktail ,Vanilla Sky ,War Of The Worlds ,,
Name A Type Of Nut,Brazil ,Hazel ,Peanut ,Chestnut ,Cashew ,,
Name An Excuse You Give To Get Off The Phone,Somebody At Door ,Need The Loo ,Dinner Ready ,Call Waiting ,Going Out ,,
Name A Nickname You Might Call A Loved One,Darling ,Babe ,Sweetheart ,Honey ,Love ,,
Name Something A Policeman Has,Truncheon ,Helmet ,Police Car ,Horse ,Radio ,,
Name Something That A Clown Might Wear,Red Nose ,Hat ,Big Shoes ,Wig ,Face Paint ,,
Name Something People Ride For A Thrill,Rollercoaster ,A Car ,Ferris Wheel ,Motor Bike ,Merry Go Round ,,
Name Something You Associate With The Ocean,Waves ,Water ,Fish ,Boat / Ships ,Shark ,,
Name Something That Travels Through Water,Ship / Boat ,Fish ,Submarine ,Dolphin ,Shark ,,
Name A Common Type Of Ache,Head ,Tooth ,Back ,Ear ,Heart ,,
Name An Activity Doen In Bare Feet,Swimming ,Water Skiiing ,Running ,Grape Crushing ,Showering ,,
Name Something That Has An Aerial,A Car ,TV / Television ,Radio ,House ,CB Radio ,,
Name Something You Associate With Aerobics,Exercise ,Sweat ,Leotards ,Dance ,Gym ,,
Name Something You Might Find Under A Sink,Detergent ,Pipes ,Plug ,Sponge ,Soap ,,
Name Something You Associate With Sleeping,Snoring ,Bed ,Dreams ,Pillow ,Night ,,
Name Something You Associate With Streamers,Party ,Ship Bon Voyage ,Birthday ,Football ,New Years Eve ,,
Name Something You Might Find In A Briefcase,Papers ,Pen ,Calculator ,Money ,Lunch ,,
Name Something You Might Find In A Vegetable Patch,Carrot ,Vegetables ,Cabbage ,Potato ,Tomato ,,
Name Something You Can Feel,Orange ,Potato ,Apple ,Carrot ,Banana ,,
Name Something Blue,Sky ,Ocean ,Blueberries ,Eyes ,Flowers ,,
Name Something You Take With You When You Go Shopping,Money ,Purse / Wallet ,List ,Bag ,The Kids ,,
Name Something A Critic Might Review,Book ,Movie ,Play ,Restaurant ,Music ,,
Name Something You Associate With Airports,Planes ,People ,Luggage ,Delays ,Terrorists ,,
Name A Liquid Used In Cooking,Oil ,Wine ,Milk ,Beer ,Vinegar ,,
Name A Place Where You Might Find Coins,Purse / Wallet ,A Bank ,Pocket ,Sofa ,Amusement Arcade ,,
Name A Part Of A Piano,Keys ,Leg ,Stool ,Pedals ,Strings ,,
Name Something You Associate With Shells,The Beach ,Sea Or Ocean ,Oysters ,A Tortoise ,A Snail ,,
Name Something You Associate With A Body Builder,Muscles ,Weights ,The Gym ,Steroids ,Mr Universe ,,
Name Something You Might See In A Bank,Money ,Cashier ,Robber ,People ,Security Guard ,,
Name Something You Might Find In the Boot Of A Car,Spare Tyre ,Jack ,Tools ,Spare Petrol Tank ,Jump Leads ,,
Name Something You Might Carry In Your Pocket,Coins / Money ,Wallet ,Hanky ,Pen ,Keys ,,
Name Something You Might Gove Someone As A Housewarming Present,Plant ,Toaster ,Towell ,Glasses ,Vase ,,
Name Something You Might Do For Mum On Mothers Day,Flowers ,Breakfast ,Cook ,Dinner ,Take To Lunch ,,
Name Something That Might Be Kept In A Cage,Bird ,Lion ,Animals ,Tiger ,Monkey ,,
Name Somewhere You Can Find A Telephone Number,Phonebook ,Phonebox ,Phone ,TV ,Toilets ,,
Name Something You Might See While Sitting In The Dentists Chair,Dentist ,Drill ,Light ,Ceiling ,Drill ,,
Name Something That Might Go Wrong With Your Car,Flat Tyre ,Flat Battery ,No Petrol ,Breakdown ,Motor ,,
Name Something You Might Find In A Music Room,Piano ,Instruments ,Guitar ,Music Sheets ,Drums ,,
Name Something You Might Find On A Boat,Life Jacket ,Oar ,Anchor ,Flares ,Fishing Rod ,,
Name Something That Is Easily Blocked,Drain ,Nose ,Sink ,Toilet ,Ears ,,
Name A Food That Does Not Stay Fresh For Long,Milk ,Bread ,Meat ,Fruit ,Fish ,,
Name Something You Associate With Stars,Moon ,Sky ,Night ,Falling Stars ,Light ,,
Name Something That Is Narrow,Lane ,Road ,Waist ,Ruler ,Path ,,
Name Something Children Chase At The Beach,Ball ,Birds ,Waves ,Crabs ,Each Other ,,
Name Something You Might See On A Train,People Or Passengers ,Conductor ,Seats ,Guard ,Driver ,,
Name Something That Is Considered To Be Very Tall,Giraffe ,Building ,Tree ,Basketball Player ,Tower ,,
Name Something You Might Wear On Your Legs,Stockings ,Socks ,Jeans ,Leggings ,Trousers ,,
Name Something You Have In A Pot,Plant ,Tea ,Stew ,Food ,Soup ,,
Name A Type Of Pasta,Spaghetti ,Fettuccini ,Ravioli ,Lasagne ,Shells ,,
Name Something You Might Check Under The Bonnet Of Your Car,Oil ,Battery ,Radiator ,Engine ,Water ,,
Name Something You Buy From A Jewellery Store,Ring ,Watch ,Necklace ,Diamonds ,Jewellery ,,
Name Something You Drink Out Of The Bottle,Coke ,Soft Drink ,Beer ,Water ,Milk ,,
Name Something Associated With Sandwiches,Bread ,Lunch ,Butter ,Ham ,Lettuce ,,
Name Something You Use To Bath A Baby,Water ,Soap ,Baby Bath ,Washer ,Towel ,,
Name Something You Associate With A Blackout,Candles ,The Dark ,Storm ,Lights ,Lightning ,,
Name Something You Might Find In A Mans Toiletry Bag,Aftershave ,Razor ,Shaving Cream ,Comb ,Deodorant ,,
Name Something You Associate With Castles,Sand ,Moat ,Knight ,King ,Drawbridge ,,
Name Something You Might Take On A Skiing Trip,Skis ,Warm Clothes ,Gloves ,Jumper ,Ski Suit ,,
Name Something That Is Square In Shape,Box ,Window ,Dice ,Tv ,Cube ,,
Name Something You Can Stand On,A Chair ,Ladder ,Stool ,Feet ,Table ,,
Name A Present That Would Be Hard To Wrap,Car ,Bike ,Ball ,An Animal ,A House ,,
Name Something You Do With A Turkey,Stuff It ,Eat It ,Pluck It ,Cook It ,Roast It ,,
Name Something That Rumbles,Stomach ,Thunder ,Earthquake ,Volcano ,Train ,,
Name A Part Of Your Body That Bends,Elbow ,Arm ,Knee ,Back ,Leg ,,
Name Something People Trip Over,Feet ,Steps / Stairs ,Rugs ,Stones ,Toys ,,
Name Something You're Afraid To Try Even Though It Seems Fun,Bungee Jumping ,Parachuting ,Roller Coaster ,Hang Gliding ,Skiing ,,
Name A Place That Has Alarms Installed,Bank ,Shop ,Office ,Car ,Factory ,,
Name Something You Associate With A Hippopotamus,Water ,Big / Fat ,Mud ,Big Teeth ,Jungle ,,
Name Something You Might Do To A Moustache,Trim It ,Shave It ,Twirl It ,Comb It ,Wax It ,,
Name Something That Can Be Served In A Cup,Tea ,Coffee ,Soup ,Drink ,Water ,,
Name Something That Might Be Swept Along By Wind,Leaves ,Paper ,Dust ,Rubbish ,Kite ,,
Name Something You Pay For Once A Year,Insurance ,Car Registration ,Tax ,Rates ,Christmas Presents ,,
Name An Instrument In A Jazz Band,Trumpet ,Saxophone ,Drums ,Clarinet ,Double Bass ,,
Name Something With Wheels That People Push,Pram ,Trolley ,Wheelbarrow ,Go Cart ,Bicycle ,,
Name Something Kids Do On A Farm,Ride Horses ,Milk Cows ,Play ,Feed Animals ,Collect Eggs ,,
Name Something You Need A Reservation For,Dinner ,Hotel / Motel ,Theatre ,Flight ,Holiday ,,
Name Something People Stop Doing When They Become Adults,Playing ,Growing ,Sucking Thumb ,Crawling ,Going To School ,,
Name Something That Can Be Built From Stone,House ,Wall ,Statue ,A Building ,A Tomb ,,
Name Something That Kids Love Doing,Play ,Eating ,Swimming ,Dancing ,Playing In Mud ,,
Name A Place That Has Lots Of Exits,Theatre ,Cinema ,Tv Studio ,Hospital ,Church ,,
Name An Animal That Lives In The Snow,Polar Bear ,Penguin ,Deer ,Bunny ,Seal ,,
Name A Ride That All Children Love,Merry Go Round ,Horse / Pony ,Ferris Wheel ,Train ,Swing ,,
Name Something You Associate With A Camera,Film ,Photos ,Flash ,Lens ,Holidays ,,
Name Something Children Do Not Like Wearing In Summer,Hat ,Clothes ,Shoes ,Jumper ,Sunscreen ,,
Name Something A Backpacker Might Carry,Backpack ,Water ,Sleeping Bag ,Tent ,Bag ,,
Name A Noise You Hear First Thing In The Morning,Birds ,Alarm ,Rooster ,Dogs ,Radio ,,
Name Something Children Play With In The Bath,Duck ,Toys ,Boat ,Washer ,Bubbles ,,
Name Something You Associate With Kites,Wind ,String ,Sky ,Kids ,Flying ,,
Name Something You Might Get Tangled,Hair ,Fishing Line ,Wool ,Rope String ,Tongue ,,
Name Something Most People Enjoy Watching Grow,Kids ,Flowers ,Plants ,Grass ,Trees ,,
Name Something A Horse Might Jump Over,Fence ,Hurdle ,Hedge ,Log ,Creek ,,
Name Something Associated With Nails,Hammer ,Finger ,Polish ,Wood ,Building ,,
Name Something You Find In Every Country,People ,City ,Flag ,Trees ,Customs ,,
Name Something People Do When It Rains,Sleep ,Read ,Watch Tv ,Sing ,Stay Indoors ,,
Name Something You Might Store In A Garage,Car ,Tools ,Lawn Mower ,Junk ,Boxes ,,
Name A Popular Garden Tool,Rake ,Spade ,Shovel ,Pitchfork ,Hoe ,,
Name Something You Find In A Sand Pit,Sand ,Bucket ,Toys ,Spade ,Children ,,
Name A Type Of Glass,Wine ,Beer ,Window ,Crystal ,Stained ,,
Name An Animal That Is White,Polar Bear ,Rabbit ,Cat ,Horse ,Dove ,,
Name Something You Associate With Babies,Nappies ,Crying ,Bottle ,Mess ,Dummy ,,
Name Something You Associate With Colouring In,Pencil ,Children ,Crayons ,Books ,Drawing ,,
Name Something You'd Associate With Roller Skates,Skaters ,Falling ,Rink ,Bruises ,Music ,,
Name A Type Of Ape,Chimp ,Ape ,Gorilla ,Baboon ,Orangutan ,,
Name Someone Who Might Wear A Medal,Soldier ,Athlete ,Winner ,Hero ,Olympian ,,
Name Something You Do When Your Bored,Read ,Sleep ,Eat ,Watch TV ,Yawn ,,
Name Something That Can Be Kept Inside Or Outside,Plants ,Dog ,Cat ,Car ,Shoes ,,
Name Something People Buy Every Week,Food ,Milk ,Paper ,Petrol ,Bread ,,
Name A Food Most People Eat Everyday,Bread ,Fruit ,Cereal ,Meat ,Potato ,,
Name Something You Might See On A Movie Set,Star / Actor ,Camera ,Lights ,Director ,People ,,
Name Something That Is Kept In The Shed,Lawnmower ,Tools ,Shovel / Spade ,Rake ,Tractor ,,
Name Something You Associate With A Mouse,Cheese ,Cat ,Trap ,Squeaking ,Tail ,,
Name Something That Travels At High Speed,Plane ,Bullet ,Car ,Train ,Rocket ,,
Name Something You Need Before You Go Overseas,Passport ,Money ,Visa ,Ticket ,Suitcase ,,
Name Something You Will Find On A Remote Control,Buttons ,Play ,TV ,Numbers ,Volume ,,
Name Something You Might Find In A Childrens Room,Toys ,Bed ,Teddy ,Mess ,Doll ,,
Name Something That Keeps Kids Amused For Hours,TV ,Video / DVD ,Video Games ,Toys ,Games ,,
Name Something Needed To Wash A Dog,Soap / Shampoo ,Water ,Hose ,Dog ,Bucket ,,
Name Something Every Cowboy Has,Hat ,Horse ,Gun ,Boots ,Spurs ,,
Name A Place Where You Often Yawn,In Bed ,At The Movies ,At Work ,In Church ,School ,,
Name A Place Where Cats Hide,Tree Or Bush ,Under The Bed ,In The Garden ,Under House ,Under Car ,,
Name Something You Associate With An Angel,Wings ,Halo ,Heaven ,God ,Harp ,,
Name A Type Of Bottle You Might Find On A Kitchen Table,Sauce ,Milk ,Wine ,Beer ,Water ,,
Name Something You Associate With Rabbits,Carrots ,Breeding ,Ears ,Tails ,Warren ,,
Name Something You Might Put Your Name And Address On,An Envelope ,A Letter ,Licence ,Form ,Suitcase ,,
Name Something You Might Dry,Clothes ,Hair ,Towels ,Dishes ,Body ,,
Name Something You Associate With An Ambulance,Accident ,Sirens ,Flashing Lights ,Driver ,Hospital ,,
Name Something You Might See At A Hospital,Beds ,Doctor ,Nurse ,Patients ,Needle ,,
Name Something You Associate With A Dream,Sleep ,Nightmare ,Falling ,Bed ,Clouds ,,
Name An Animal That Is Small But Very Dangerous,Spider ,Snake ,Rat ,Scorpion ,Piranha ,,
Name Something You Associate With A Snake Charmer,Snake ,Basket ,Flute ,Turban ,Music ,,
Name Something Associated With A Pig,Mud / Dirt ,Bacon ,A Sty ,Pork ,Smell ,,
Name Something You Might Find In A Cave,Bats ,Bear ,Treasure ,Caveman ,Rocks ,,
Name Someone Who Might Give A Lecture,Teacher ,Parent ,Professor ,Police ,Partner ,,
Name Something Frothy,Beer ,Milkshake ,Cappuccino ,Soap ,Drink ,,
Name Something You Need For Shaving,Razor ,Shaving Cream ,Brush ,Whiskers / Beard ,Water ,,
Name Something You Might Find In A Wardrobe,Clothes ,Dress ,Shoes ,Coat Hanger ,Shirts ,,
Name A Character Associated With Walt Disney,Donald Duck ,Micky Mouse ,Minnie Mouse ,Pluto ,Goofy ,,
Name Something You Might Do On Christmas Day,Open Presents ,Eat ,Drink ,Church ,Sing ,,
Name Something You Might Find In A Jewellery Box,Ring ,Jewellery ,Necklace ,Earrings ,Crucifix ,,
Name Something You Might Give A Little Boy For His Birthday,Truck ,Car ,Bicycle ,Cake ,Train Set ,,
Name Something You Can Count,Numbers ,Fingers ,Sheep ,Money ,Toes ,,
Name Something Associated With Balloons,Air ,Clowns ,Party ,Colours ,String ,,
Name Something A Dog Loves To Play With,Bone ,Ball ,Cat ,Stick ,Shoes ,,
Name Something You Need To Make Bread,Flower ,Yeast ,Doe ,Water ,Flavour ,,
Name Something You Associate With A Bee,Honey ,Sting ,Hive ,Buzz ,Wings ,,
Name Something You Might Keep In A Cupboard,Food ,Clothes ,Cups ,Plates ,Beans ,,
Name Something That Glitters,Gold ,Diamonds ,Stars ,Glitter ,Ring ,,
Name A Tool Or A Weapon Used By A Caveman,A Club ,An Axe ,Rock / Stone ,Hammer ,A Spear ,,
Name Something You Might Have Locked In A Safe,Money ,Jewellery ,A Will ,Documents ,Deeds ,,
Name Something You See On A Doorstep,Mat ,Milk Bottles ,Paper ,Pot Plant ,Cat ,,
Name Something Large,Elephant ,Car ,Building ,World ,Whale ,,
Name Something People Mix,Drink ,Cake ,Paint ,Cement ,Food ,,
Name Something You Find On A Wall,Picture ,Clock ,Paint ,Graffiti ,A Fly ,,
Name Something You Might Buy For A Dog,Collar ,Bone ,Food ,Leash / Lead ,Biscuits ,,
Name Somewhere You Might Take A Towel,The Beach ,Bathroom ,Shower ,Pool ,Bath ,,
Name Something You Associate With Pine,Trees ,Furniture ,Cones ,Table ,Forest ,,
Name An Activity You Might Do In The Sea,Swimming ,Fishing ,Surfing ,Sailing ,Scuba Diving ,,
Name Something People Do To Keep Fit,Run / Jog ,Excercise ,Walk ,Aerobics ,Gym ,,
Name Something That Melts In The Sun,Ice ,Ice Cream ,Cocolate ,Snow ,Butter ,,
Name Something You Wear At A Wedding,Dress ,Suit ,Wedding Dress ,Hat ,Veil ,,
Name Something You Associate With Keys,Car ,Ring ,Lock ,Door ,House ,,
Name Something you Associate With A Sleeping Bag,Camping ,Tent ,Sleep ,Zip ,Ants ,,
Name Something You Might Lease,Car ,House ,Shop ,Land ,Boat ,,
Name Something That Every Baby Does,Cry ,Dirty Nappy ,Burp ,Dribble ,Sleep ,,
Name Something Children Do On A Long Car Trip,Sing ,Whinge / Complain ,Sleep ,I Spy ,Fight ,,
Name Somewhere You Might Keep Loose Change,Pocket ,Purse ,Car ,In A Jar ,Ashtray ,,
Name Something You Associate With Pets,Fleas ,Dogs ,Children ,Food ,Friendship ,,
Name Somewhere Children Like To Go After School,Home ,Park ,Playground ,Friends ,Shops ,,
Name Something A Doctor Might Use,Needles ,Stethoscope ,Thermometer ,Scalpel ,Rubber Gloves ,,
Name A Type Of Animal That Has Paws,Cat ,Dog ,Bear ,Lion ,Tiger ,,
Name Something That Goes Around & Around,A Merrygoround ,A Wheel ,A Clock ,Ferris Wheel ,Moon ,,
Name Something That Needs To Be Kept In The Fridge,Milk ,Butter ,Beer ,Drinks ,Ice Cream ,,
Name Something That Is Chocolate Flavoured,Ice Cream ,Milk ,Milkshake ,Cake ,Chocolate ,,
Name Something You Might Find In The Cockpit Of A Plane,Pilot ,Instruments ,Gear Stick ,Seat ,Radar ,,
Name Something You Might Climb,Mountain / Hill ,Tree ,Ladder ,Rope ,Stairs ,,
Name Something You Might Find In An Artists Studio,Paint ,Easel ,Paintbrush ,Model ,Painting ,,
Name Something You Associate With A Pirate,Eye Patch ,Ship ,Sword ,Treasure ,Skull & Crossbones ,,
